,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
985,Ingredient_Q,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
967,Ingredient_Q,Pre-production,EU,EU,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
791,Ingredient_N,Pre-production,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
914,Ingredient_P,Pre-production,EU,EU,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
1184,Ingredient_R,In Progress,US,US,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,2.5
833,Ingredient_N,In Progress,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
81,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,4.0
720,Ingredient_M,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
674,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
569,Ingredient_K,In Progress,ICON - LACAN,ICON - LACAN,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
642,Ingredient_L,In Progress,ICON - LACAN,ICON - LACAN,Vial,2022,AML1,0.25,15000,3750,11250,4,4.0
1072,Ingredient_R,Pre-production,EU,EU,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,2.5
1017,Ingredient_Q,Post-production,Global,Global,Global Post-production,2019,ASM1,0.4,15000,6000,9000,4,2.5
553,Ingredient_K,In Progress,EU,EU,50cc,2019,ABR,0.65,15000,9750,5250,4,4.0
1100,Ingredient_R,Pre-production,ICON - TMEA,ICON - TMEA,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,2.5
374,Ingredient_H,In Progress,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,4.0
641,Ingredient_L,In Progress,ICON - LACAN,ICON - LACAN,Vial,2021,AML1,0.25,15000,3750,11250,4,4.0
704,Ingredient_M,In Progress,EU,EU,OnPro,2021,ABR,0.65,15000,9750,5250,4,2.5
846,Ingredient_N,In Progress,US,US,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
1183,Ingredient_R,In Progress,US,US,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,2.5
798,Ingredient_N,In Progress,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
646,Ingredient_L,In Progress,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,4.0
1249,Ingredient_S,In Progress,ICON - TMEA,ICON - TMEA,Blister,2021,"PCI, UK",0.3,15000,4500,10500,4,2.5
82,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2020,ABR,0.65,15000,9750,5250,4,4.0
412,Ingredient_I,In Progress,EU,EU,Vial,2023,LDC,0.35,15000,5250,9750,4,4.0
1226,Ingredient_S,Pre-production,US,US,Bottle,2023,AML23,0.25,15000,3750,11250,4,2.5
637,Ingredient_L,In Progress,EU,EU,Vial,2022,ABR,0.65,15000,9750,5250,4,4.0
1146,Ingredient_R,In Progress,EU,EU,Pushtronex,2023,"PCI, US",0.3,15000,4500,10500,4,2.5
95,Ingredient_B,In Progress,JAPAC,JAPAC,Syringe,2020,AML1,0.25,15000,3750,11250,4,4.0
1273,Ingredient_T,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
695,Ingredient_M,Pre-production,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
1281,Ingredient_T,Pre-production,JAPAC,JAPAC,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
56,Ingredient_B,Pre-production,US,US,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
399,Ingredient_I,Pre-production,US,US,Vial,2020,AWM,0.98,15000,14700,300,4,4.0
33,Ingredient_B,Pre-production,ICON - LACAN,ICON - LACAN,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
676,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
89,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,4.0
980,Ingredient_Q,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
1208,Ingredient_S,Pre-production,ICON - LACAN,ICON - LACAN,Bottle,2020,"Patheon, CA",0.6,15000,9000,6000,4,2.5
692,Ingredient_M,Pre-production,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
557,Ingredient_K,In Progress,EU,EU,50cc,2023,ABR,0.65,15000,9750,5250,4,4.0
916,Ingredient_P,Pre-production,EU,EU,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1208,Ingredient_S,Pre-production,ICON - LACAN,ICON - LACAN,Bottle,2020,"Patheon, CA",0.6,15000,9000,6000,4,2.5
1007,Ingredient_Q,Pre-production,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
712,Ingredient_M,In Progress,ICON - LACAN,ICON - LACAN,OnPro,2019,AML1,0.25,15000,3750,11250,4,2.5
430,Ingredient_J,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ADL,1.0,15000,15000,0,4,4.0
27,Ingredient_B,Pre-production,EU,EU,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
1022,Ingredient_Q,In Progress,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
306,Ingredient_F,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2019,AML1,0.25,15000,3750,11250,4,4.0
85,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2023,ABR,0.65,15000,9750,5250,4,4.0
709,Ingredient_M,In Progress,EU,EU,Syringe,2021,ABR,0.65,15000,9750,5250,4,2.5
713,Ingredient_M,In Progress,ICON - LACAN,ICON - LACAN,OnPro,2020,AML1,0.25,15000,3750,11250,4,2.5
1246,Ingredient_S,In Progress,ICON - LACAN,ICON - LACAN,Bottle,2023,"Patheon, CA",0.6,15000,9000,6000,4,2.5
923,Ingredient_P,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,2.5
850,Ingredient_O,Pre-production,EU,EU,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2022,ADL PM2,1.0,15000,15000,0,4,2.5
250,Ingredient_E,In Progress,US,US,Bottle,2023,AML23,0.25,15000,3750,11250,4,4.0
111,Ingredient_C,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2019,AML14,0.8,15000,12000,3000,4,4.0
1298,Ingredient_T,In Progress,ICON - LACAN,ICON - LACAN,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
754,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
1053,Ingredient_Q,In Progress,JAPAC,JAPAC,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
1262,Ingredient_T,Pre-production,EU,EU,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
397,Ingredient_I,Pre-production,EU,EU,Vial,2023,AWM,0.98,15000,14700,300,4,4.0
1237,Ingredient_S,In Progress,EU,EU,Capsule,2019,"Anderson Bercon, UK",0.35,15000,5250,9750,4,2.5
181,Ingredient_D,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,4.0
45,Ingredient_B,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
439,Ingredient_J,Pre-production,US,US,Lyo Vial Kit,2021,ADL,1.0,15000,15000,0,4,4.0
292,Ingredient_F,Post-production,Global,Global,Global Post-production,2020,AML6,0.25,15000,3750,11250,4,4.0
472,Ingredient_J,In Progress,US,US,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,4.0
698,Ingredient_M,Post-production,Global,Global,Global Post-production,2020,AML7,0.25,15000,3750,11250,4,2.5
794,Ingredient_N,Post-production,Global,Global,Global Post-production,2021,AML7,0.25,15000,3750,11250,4,2.5
1038,Ingredient_Q,In Progress,ICON - LACAN,ICON - LACAN,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
1146,Ingredient_R,In Progress,EU,EU,Pushtronex,2023,"PCI, US",0.3,15000,4500,10500,4,2.5
125,Ingredient_C,Pre-production,JAPAC,JAPAC,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
648,Ingredient_L,In Progress,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,4.0
577,Ingredient_K,In Progress,ICON - TMEA,ICON - TMEA,50cc,2023,Sharp,0.35,15000,5250,9750,4,4.0
81,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,4.0
573,Ingredient_K,In Progress,ICON - TMEA,ICON - TMEA,50cc,2019,Sharp,0.35,15000,5250,9750,4,4.0
423,Ingredient_J,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2020,"Actavis, IT",0.98,15000,14700,300,4,4.0
1225,Ingredient_S,Pre-production,US,US,Bottle,2022,AML23,0.25,15000,3750,11250,4,2.5
1129,Ingredient_R,Pre-production,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
239,Ingredient_E,Pre-production,US,US,Solution/Ampule,2022,"Catalent, IL",0.98,15000,14700,300,4,4.0
364,Ingredient_H,Pre-production,US,US,Syringe,2021,"Patheon, IT",0.6,15000,9000,6000,4,4.0
524,Ingredient_K,Pre-production,US,US,10cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
50,Ingredient_B,Pre-production,JAPAC,JAPAC,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
1170,Ingredient_R,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
155,Ingredient_C,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
1043,Ingredient_Q,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
1309,Ingredient_T,In Progress,JAPAC,JAPAC,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
1028,Ingredient_Q,In Progress,EU,EU,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
160,Ingredient_C,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2023,ABR,0.65,15000,9750,5250,4,4.0
97,Ingredient_B,In Progress,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
781,Ingredient_N,Pre-production,JAPAC,JAPAC,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
13,Ingredient_A,In Progress,JAPAC,JAPAC,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
44,Ingredient_B,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
884,Ingredient_O,Post-production,Global,Global,Global Post-production,2021,AML7,0.25,15000,3750,11250,4,2.5
711,Ingredient_M,In Progress,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
91,Ingredient_B,In Progress,JAPAC,JAPAC,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
215,Ingredient_D,In Progress,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,4.0
456,Ingredient_J,In Progress,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,4.0
951,Ingredient_P,In Progress,ICON - LACAN,ICON - LACAN,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
551,Ingredient_K,In Progress,EU,EU,30cc,2022,ABR,0.65,15000,9750,5250,4,4.0
694,Ingredient_M,Pre-production,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
77,Ingredient_B,In Progress,ICON - LACAN,ICON - LACAN,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
705,Ingredient_M,In Progress,EU,EU,OnPro,2022,ABR,0.65,15000,9750,5250,4,2.5
1093,Ingredient_R,Pre-production,ICON - LACAN,ICON - LACAN,Pushtronex,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
64,Ingredient_B,In Progress,EU,EU,Auto Injector,2020,ABR,0.65,15000,9750,5250,4,4.0
1104,Ingredient_R,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
746,Ingredient_N,Pre-production,EU,EU,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
182,Ingredient_D,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
473,Ingredient_K,Pre-production,EU,EU,10cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
246,Ingredient_E,In Progress,US,US,Bottle,2019,AML23,0.25,15000,3750,11250,4,4.0
378,Ingredient_H,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2019,AML1,0.25,15000,3750,11250,4,4.0
1213,Ingredient_S,Pre-production,ICON - TMEA,ICON - TMEA,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
747,Ingredient_N,Pre-production,EU,EU,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
564,Ingredient_K,In Progress,ICON - LACAN,ICON - LACAN,30cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1198,Ingredient_S,Pre-production,EU,EU,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
900,Ingredient_O,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,2.5
238,Ingredient_E,Pre-production,US,US,Solution/Ampule,2021,"Catalent, IL",0.98,15000,14700,300,4,4.0
1019,Ingredient_Q,Post-production,Global,Global,Global Post-production,2021,ASM1,0.4,15000,6000,9000,4,2.5
445,Ingredient_J,Post-production,Global,Global,Global Post-production,2020,"Patheon, NL",0.6,15000,9000,6000,4,4.0
422,Ingredient_J,Pre-production,EU,EU,Lyo Vial Kit,2023,ADL,1.0,15000,15000,0,4,4.0
575,Ingredient_K,In Progress,ICON - TMEA,ICON - TMEA,50cc,2021,Sharp,0.35,15000,5250,9750,4,4.0
1217,Ingredient_S,Pre-production,JAPAC,JAPAC,Blister,2019,AML23,0.25,15000,3750,11250,4,2.5
527,Ingredient_K,Pre-production,US,US,10cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1135,Ingredient_R,Post-production,Global,Global,Global Post-production,2022,AML6,0.25,15000,3750,11250,4,2.5
965,Ingredient_P,In Progress,US,US,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
99,Ingredient_B,In Progress,US,US,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
1016,Ingredient_Q,Pre-production,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1045,Ingredient_Q,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
910,Ingredient_O,In Progress,US,US,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,2.5
1070,Ingredient_Q,In Progress,US,US,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
851,Ingredient_O,Pre-production,EU,EU,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2023,ADL PM2,1.0,15000,15000,0,4,2.5
798,Ingredient_N,In Progress,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
1075,Ingredient_R,Pre-production,EU,EU,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,2.5
531,Ingredient_K,Pre-production,US,US,30cc,2022,ADL,1.0,15000,15000,0,4,4.0
265,Ingredient_F,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,AML14,0.8,15000,12000,3000,4,4.0
48,Ingredient_B,Pre-production,JAPAC,JAPAC,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,4.0
635,Ingredient_L,In Progress,EU,EU,Vial,2020,ABR,0.65,15000,9750,5250,4,4.0
504,Ingredient_K,Pre-production,ICON - TMEA,ICON - TMEA,50cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
426,Ingredient_J,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,"Actavis, IT",0.98,15000,14700,300,4,4.0
906,Ingredient_O,In Progress,JAPAC,JAPAC,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
84,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2022,ABR,0.65,15000,9750,5250,4,4.0
202,Ingredient_D,Post-production,Global,Global,Global Post-production,2020,"Lonza, UK",1.0,15000,15000,0,4,4.0
231,Ingredient_E,Pre-production,US,US,Bottle,2019,AML23,0.25,15000,3750,11250,4,4.0
539,Ingredient_K,Post-production,Global,Global,Global Post-production,2020,ASM2,0.4,15000,6000,9000,4,4.0
215,Ingredient_D,In Progress,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,4.0
1192,Ingredient_R,In Progress,US,US,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
740,Ingredient_M,In Progress,US,US,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
517,Ingredient_K,Pre-production,JAPAC,JAPAC,30cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
284,Ingredient_F,Pre-production,US,US,Reusable Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
532,Ingredient_K,Pre-production,US,US,30cc,2023,ADL,1.0,15000,15000,0,4,4.0
569,Ingredient_K,In Progress,ICON - LACAN,ICON - LACAN,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
741,Ingredient_M,In Progress,US,US,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
23,Ingredient_B,Pre-production,EU,EU,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
150,Ingredient_C,In Progress,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,4.0
665,Ingredient_M,Pre-production,EU,EU,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
85,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2023,ABR,0.65,15000,9750,5250,4,4.0
904,Ingredient_O,In Progress,JAPAC,JAPAC,Lyo Vial Kit,2021,ABR,0.65,15000,9750,5250,4,2.5
279,Ingredient_F,Pre-production,US,US,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,4.0
646,Ingredient_L,In Progress,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,4.0
811,Ingredient_N,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
1254,Ingredient_S,In Progress,JAPAC,JAPAC,Blister,2021,"PCI, UK",0.3,15000,4500,10500,4,2.5
310,Ingredient_F,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
644,Ingredient_L,In Progress,ICON - TMEA,ICON - TMEA,Vial,2021,ABR,0.65,15000,9750,5250,4,4.0
148,Ingredient_C,In Progress,EU,EU,Syringe,2021,ABR,0.65,15000,9750,5250,4,4.0
475,Ingredient_K,Pre-production,EU,EU,10cc,2021,"Patheon, NC",0.6,15000,9000,6000,4,4.0
691,Ingredient_M,Pre-production,US,US,OnPro,2023,AML14,0.8,15000,12000,3000,4,2.5
317,Ingredient_F,In Progress,US,US,Lyo Vial Kit,2020,"PCI, US",0.3,15000,4500,10500,4,4.0
66,Ingredient_B,In Progress,EU,EU,Auto Injector,2022,ABR,0.65,15000,9750,5250,4,4.0
910,Ingredient_O,In Progress,US,US,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,2.5
64,Ingredient_B,In Progress,EU,EU,Auto Injector,2020,ABR,0.65,15000,9750,5250,4,4.0
838,Ingredient_N,In Progress,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
288,Ingredient_F,Pre-production,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
604,Ingredient_K,In Progress,US,US,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
234,Ingredient_E,Pre-production,US,US,Bottle,2022,AML23,0.25,15000,3750,11250,4,4.0
85,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2023,ABR,0.65,15000,9750,5250,4,4.0
494,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,30cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1162,Ingredient_R,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,2.5
461,Ingredient_J,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,4.0
1122,Ingredient_R,Pre-production,US,US,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1068,Ingredient_Q,In Progress,US,US,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
532,Ingredient_K,Pre-production,US,US,30cc,2023,ADL,1.0,15000,15000,0,4,4.0
424,Ingredient_J,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2021,"Actavis, IT",0.98,15000,14700,300,4,4.0
604,Ingredient_K,In Progress,US,US,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1269,Ingredient_T,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
1196,Ingredient_R,In Progress,US,US,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
810,Ingredient_N,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
282,Ingredient_F,Pre-production,US,US,Reusable Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
527,Ingredient_K,Pre-production,US,US,10cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
220,Ingredient_D,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,4.0
807,Ingredient_N,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
513,Ingredient_K,Pre-production,JAPAC,JAPAC,30cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
502,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,50cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
269,Ingredient_F,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
1211,Ingredient_S,Pre-production,ICON - LACAN,ICON - LACAN,Bottle,2023,"Patheon, CA",0.6,15000,9000,6000,4,2.5
43,Ingredient_B,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
137,Ingredient_C,Post-production,Global,Global,Global Post-production,2020,AML6,0.25,15000,3750,11250,4,4.0
761,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
573,Ingredient_K,In Progress,ICON - TMEA,ICON - TMEA,50cc,2019,Sharp,0.35,15000,5250,9750,4,4.0
373,Ingredient_H,In Progress,EU,EU,Syringe,2022,ABR,0.65,15000,9750,5250,4,4.0
922,Ingredient_P,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2019,"Patheon, NC",0.6,15000,9000,6000,4,2.5
1077,Ingredient_R,Pre-production,EU,EU,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
514,Ingredient_K,Pre-production,JAPAC,JAPAC,30cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
970,Ingredient_Q,Pre-production,EU,EU,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
74,Ingredient_B,In Progress,ICON - LACAN,ICON - LACAN,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
982,Ingredient_Q,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
514,Ingredient_K,Pre-production,JAPAC,JAPAC,30cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
357,Ingredient_H,Pre-production,JAPAC,JAPAC,Syringe,2019,"Patheon, IT",0.6,15000,9000,6000,4,4.0
875,Ingredient_O,Pre-production,US,US,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2022,ADL PM2,1.0,15000,15000,0,4,2.5
316,Ingredient_F,In Progress,US,US,Lyo Vial Kit,2019,"PCI, US",0.3,15000,4500,10500,4,4.0
1262,Ingredient_T,Pre-production,EU,EU,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
7,Ingredient_A,Post-production,Global,Global,Global Post-production,2019,ATO23,1.0,15000,15000,0,4,4.0
249,Ingredient_E,In Progress,US,US,Bottle,2022,AML23,0.25,15000,3750,11250,4,4.0
159,Ingredient_C,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,4.0
2,Ingredient_A,Pre-production,US,US,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,4.0
1259,Ingredient_S,In Progress,US,US,Bottle,2021,AML23,0.25,15000,3750,11250,4,2.5
89,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,4.0
1206,Ingredient_S,Pre-production,EU,EU,Capsule,2023,"Patheon, CA",0.6,15000,9000,6000,4,2.5
602,Ingredient_K,In Progress,US,US,30cc,2023,AML1,0.25,15000,3750,11250,4,4.0
7,Ingredient_A,Post-production,Global,Global,Global Post-production,2019,ATO23,1.0,15000,15000,0,4,4.0
937,Ingredient_P,Post-production,Global,Global,Global Post-production,2019,"Bachem, CH",1.0,15000,15000,0,4,2.5
589,Ingredient_K,In Progress,JAPAC,JAPAC,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
936,Ingredient_P,Pre-production,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1025,Ingredient_Q,In Progress,EU,EU,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
488,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,10cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
377,Ingredient_H,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
666,Ingredient_M,Pre-production,EU,EU,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
928,Ingredient_P,Pre-production,JAPAC,JAPAC,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,2.5
517,Ingredient_K,Pre-production,JAPAC,JAPAC,30cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
708,Ingredient_M,In Progress,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
748,Ingredient_N,Pre-production,EU,EU,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
961,Ingredient_P,In Progress,JAPAC,JAPAC,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
663,Ingredient_M,Pre-production,EU,EU,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
267,Ingredient_F,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
601,Ingredient_K,In Progress,US,US,30cc,2022,AML1,0.25,15000,3750,11250,4,4.0
