,Unnamed: 0,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
1258,1258,ProductS,FDP,US,US,Bottle,2020,AML23,0.25,15000,3750,11250,4,2.5
200,200,ProductD,DP,US,US,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,4.0
907,907,ProductO,FDP,US,US,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,2.5
296,296,ProductF,FDP,ICON - LACAN,ICON - LACAN,Auto Injector,2019,AML1,0.25,15000,3750,11250,4,4.0
995,995,ProductQ,DP,ICON - TMEA,ICON - TMEA,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
579,579,ProductK,FDP,JAPAC,JAPAC,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1087,1087,ProductR,DP,ICON - LACAN,ICON - LACAN,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,2.5
879,879,ProductO,DP,US,US,Lyo Vial or Lyo Vial Kit; 125ug SKU,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
913,913,ProductP,DP,EU,EU,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
209,209,ProductD,FDP,EU,EU,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,4.0
382,382,ProductH,FDP,ICON - TMEA,ICON - TMEA,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
1301,1301,ProductT,FDP,ICON - LACAN,ICON - LACAN,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
647,647,ProductL,FDP,JAPAC,JAPAC,Vial,2019,AML1,0.25,15000,3750,11250,4,4.0
38,38,ProductB,DP,ICON - TMEA,ICON - TMEA,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
476,476,ProductK,DP,EU,EU,10cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
712,712,ProductM,FDP,ICON - LACAN,ICON - LACAN,OnPro,2019,AML1,0.25,15000,3750,11250,4,2.5
178,178,ProductD,DP,EU,EU,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,4.0
975,975,ProductQ,DP,EU,EU,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
78,78,ProductB,FDP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
167,167,ProductC,FDP,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,4.0
867,867,ProductO,DP,JAPAC,JAPAC,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,2.5
1014,1014,ProductQ,DP,US,US,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
619,619,ProductL,DP,ICON - TMEA,ICON - TMEA,Vial,2023,AML14,0.8,15000,12000,3000,4,4.0
813,813,ProductN,FDP,ICON - LACAN,ICON - LACAN,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
552,552,ProductK,FDP,EU,EU,30cc,2023,ABR,0.65,15000,9750,5250,4,4.0
384,384,ProductH,FDP,JAPAC,JAPAC,Syringe,2020,Bushu,0.35,15000,5250,9750,4,4.0
113,113,ProductC,DP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
188,188,ProductD,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,4.0
1095,1095,ProductR,DP,ICON - LACAN,ICON - LACAN,Pushtronex,2022,"Patheon, IT",0.6,15000,9000,6000,4,2.5
927,927,ProductP,DP,JAPAC,JAPAC,Vial,2019,"Patheon, NC",0.6,15000,9000,6000,4,2.5
608,608,ProductL,DP,EU,EU,Vial,2020,AML14,0.8,15000,12000,3000,4,4.0
153,153,ProductC,FDP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
1203,1203,ProductS,DP,EU,EU,Capsule,2020,"Patheon, CA",0.6,15000,9000,6000,4,2.5
950,950,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
1165,1165,ProductR,FDP,ICON - TMEA,ICON - TMEA,Auto Injector,2022,ABR,0.65,15000,9750,5250,4,2.5
594,594,ProductK,FDP,US,US,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
951,951,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
1224,1224,ProductS,DP,US,US,Bottle,2021,AML23,0.25,15000,3750,11250,4,2.5
579,579,ProductK,FDP,JAPAC,JAPAC,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
329,329,ProductF,FDP,US,US,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
410,410,ProductI,FDP,EU,EU,Vial,2021,LDC,0.35,15000,5250,9750,4,4.0
29,29,ProductB,DP,ICON - LACAN,ICON - LACAN,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,4.0
757,757,ProductN,DP,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
905,905,ProductO,FDP,JAPAC,JAPAC,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,2.5
961,961,ProductP,FDP,JAPAC,JAPAC,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
745,745,ProductN,DP,EU,EU,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
373,373,ProductH,FDP,EU,EU,Syringe,2022,ABR,0.65,15000,9750,5250,4,4.0
264,264,ProductF,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2022,AML14,0.8,15000,12000,3000,4,4.0
135,135,ProductC,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,4.0
559,559,ProductK,FDP,ICON - LACAN,ICON - LACAN,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1259,1259,ProductS,FDP,US,US,Bottle,2021,AML23,0.25,15000,3750,11250,4,2.5
1164,1164,ProductR,FDP,ICON - TMEA,ICON - TMEA,Auto Injector,2021,ABR,0.65,15000,9750,5250,4,2.5
297,297,ProductF,FDP,ICON - LACAN,ICON - LACAN,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
1182,1182,ProductR,FDP,US,US,Auto Injector,2019,AML1,0.25,15000,3750,11250,4,2.5
908,908,ProductO,FDP,US,US,Lyo Vial Kit,2020,AML1,0.25,15000,3750,11250,4,2.5
885,885,ProductO,DS,Global,Global,Global DS,2022,AML7,0.25,15000,3750,11250,4,2.5
949,949,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
1221,1221,ProductS,DP,JAPAC,JAPAC,Blister,2023,AML23,0.25,15000,3750,11250,4,2.5
186,186,ProductD,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,4.0
1129,1129,ProductR,DP,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
651,651,ProductL,FDP,JAPAC,JAPAC,Vial,2023,AML1,0.25,15000,3750,11250,4,4.0
1228,1228,ProductS,DS,Global,Global,Global DS,2020,Sumitomo,1.0,15000,15000,0,4,2.5
1077,1077,ProductR,DP,EU,EU,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
569,569,ProductK,FDP,ICON - LACAN,ICON - LACAN,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1162,1162,ProductR,FDP,ICON - TMEA,ICON - TMEA,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,2.5
685,685,ProductM,DP,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
209,209,ProductD,FDP,EU,EU,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,4.0
1217,1217,ProductS,DP,JAPAC,JAPAC,Blister,2019,AML23,0.25,15000,3750,11250,4,2.5
1077,1077,ProductR,DP,EU,EU,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1143,1143,ProductR,FDP,EU,EU,Pushtronex,2020,"PCI, US",0.3,15000,4500,10500,4,2.5
133,133,ProductC,DP,US,US,Vial,2021,AML14,0.8,15000,12000,3000,4,4.0
1093,1093,ProductR,DP,ICON - LACAN,ICON - LACAN,Pushtronex,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
164,164,ProductC,FDP,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
1044,1044,ProductQ,FDP,ICON - TMEA,ICON - TMEA,Syringe,2021,ABR,0.65,15000,9750,5250,4,2.5
914,914,ProductP,DP,EU,EU,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
1028,1028,ProductQ,FDP,EU,EU,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
46,46,ProductB,DP,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
976,976,ProductQ,DP,EU,EU,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1126,1126,ProductR,DP,US,US,Pushtronex,2023,"Patheon, IT",0.6,15000,9000,6000,4,2.5
719,719,ProductM,FDP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
441,441,ProductJ,DP,US,US,Lyo Vial Kit,2023,ADL,1.0,15000,15000,0,4,4.0
1186,1186,ProductR,FDP,US,US,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,2.5
754,754,ProductN,DP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
1146,1146,ProductR,FDP,EU,EU,Pushtronex,2023,"PCI, US",0.3,15000,4500,10500,4,2.5
1301,1301,ProductT,FDP,ICON - LACAN,ICON - LACAN,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
544,544,ProductK,FDP,EU,EU,10cc,2020,ABR,0.65,15000,9750,5250,4,4.0
827,827,ProductN,FDP,JAPAC,JAPAC,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
8,8,ProductA,DS,Global,Global,Global DS,2020,ASM1,0.4,15000,6000,9000,4,4.0
502,502,ProductK,DP,ICON - LACAN,ICON - LACAN,50cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
180,180,ProductD,DP,EU,EU,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,4.0
764,764,ProductN,DP,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
119,119,ProductC,DP,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
506,506,ProductK,DP,ICON - TMEA,ICON - TMEA,50cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
964,964,ProductP,FDP,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
1134,1134,ProductR,DS,Global,Global,Global DS,2021,AML6,0.25,15000,3750,11250,4,2.5
230,230,ProductD,FDP,US,US,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,4.0
64,64,ProductB,FDP,EU,EU,Auto Injector,2020,ABR,0.65,15000,9750,5250,4,4.0
488,488,ProductK,DP,ICON - LACAN,ICON - LACAN,10cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1136,1136,ProductR,DS,Global,Global,Global DS,2023,AML6,0.25,15000,3750,11250,4,2.5
751,751,ProductN,DP,EU,EU,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1197,1197,ProductS,DP,EU,EU,Blister,2019,AML23,0.25,15000,3750,11250,4,2.5
822,822,ProductN,FDP,ICON - TMEA,ICON - TMEA,Vial,2019,ABR,0.65,15000,9750,5250,4,2.5
462,462,ProductJ,FDP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,4.0
1277,1277,ProductT,DP,JAPAC,JAPAC,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
117,117,ProductC,DP,ICON - TMEA,ICON - TMEA,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
771,771,ProductN,DP,ICON - TMEA,ICON - TMEA,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
409,409,ProductI,FDP,EU,EU,Vial,2020,LDC,0.35,15000,5250,9750,4,4.0
1189,1189,ProductR,FDP,US,US,Pushtronex,2021,"PCI, US",0.3,15000,4500,10500,4,2.5
283,283,ProductF,DP,US,US,Reusable Auto Injector,2021,AML14,0.8,15000,12000,3000,4,4.0
183,183,ProductD,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,4.0
894,894,ProductO,FDP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,2.5
523,523,ProductK,DP,US,US,10cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
552,552,ProductK,FDP,EU,EU,30cc,2023,ABR,0.65,15000,9750,5250,4,4.0
1042,1042,ProductQ,FDP,ICON - TMEA,ICON - TMEA,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
385,385,ProductH,FDP,JAPAC,JAPAC,Syringe,2021,Bushu,0.35,15000,5250,9750,4,4.0
1010,1010,ProductQ,DP,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
585,585,ProductK,FDP,JAPAC,JAPAC,30cc,2021,AML1,0.25,15000,3750,11250,4,4.0
1134,1134,ProductR,DS,Global,Global,Global DS,2021,AML6,0.25,15000,3750,11250,4,2.5
531,531,ProductK,DP,US,US,30cc,2022,ADL,1.0,15000,15000,0,4,4.0
222,222,ProductD,FDP,JAPAC,JAPAC,Lyo Vial Kit,2020,Bushu,0.35,15000,5250,9750,4,4.0
176,176,ProductD,DP,EU,EU,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,4.0
528,528,ProductK,DP,US,US,30cc,2019,ADL,1.0,15000,15000,0,4,4.0
1294,1294,ProductT,FDP,EU,EU,Vial,2021,ABR,0.65,15000,9750,5250,4,2.5
732,732,ProductM,FDP,US,US,OnPro,2019,AML1,0.25,15000,3750,11250,4,2.5
551,551,ProductK,FDP,EU,EU,30cc,2022,ABR,0.65,15000,9750,5250,4,4.0
241,241,ProductE,DS,Global,Global,Global DS,2019,"FIS, IT",1.0,15000,15000,0,4,4.0
906,906,ProductO,FDP,JAPAC,JAPAC,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
343,343,ProductG,FDP,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,4.0
334,334,ProductG,DP,US,US,Vial,2022,AML14,0.8,15000,12000,3000,4,4.0
1201,1201,ProductS,DP,EU,EU,Blister,2023,AML23,0.25,15000,3750,11250,4,2.5
471,471,ProductJ,FDP,US,US,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,4.0
69,69,ProductB,FDP,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,4.0
841,841,ProductN,FDP,US,US,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
551,551,ProductK,FDP,EU,EU,30cc,2022,ABR,0.65,15000,9750,5250,4,4.0
341,341,ProductG,FDP,US,US,Vial,2019,AML1,0.25,15000,3750,11250,4,4.0
507,507,ProductK,DP,ICON - TMEA,ICON - TMEA,50cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
936,936,ProductP,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
866,866,ProductO,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,2.5
105,105,ProductC,DP,EU,EU,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
781,781,ProductN,DP,JAPAC,JAPAC,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
185,185,ProductD,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,4.0
366,366,ProductH,DP,US,US,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
648,648,ProductL,FDP,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,4.0
228,228,ProductD,FDP,US,US,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,4.0
951,951,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
5,5,ProductA,DP,US,US,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
1169,1169,ProductR,FDP,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
857,857,ProductO,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,2.5
659,659,ProductM,DP,EU,EU,OnPro,2021,AML14,0.8,15000,12000,3000,4,2.5
613,613,ProductL,DP,ICON - LACAN,ICON - LACAN,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
130,130,ProductC,DP,US,US,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
1228,1228,ProductS,DS,Global,Global,Global DS,2020,Sumitomo,1.0,15000,15000,0,4,2.5
496,496,ProductK,DP,ICON - LACAN,ICON - LACAN,30cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
282,282,ProductF,DP,US,US,Reusable Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
132,132,ProductC,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,4.0
154,154,ProductC,FDP,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
158,158,ProductC,FDP,ICON - TMEA,ICON - TMEA,Syringe,2021,ABR,0.65,15000,9750,5250,4,4.0
445,445,ProductJ,DS,Global,Global,Global DS,2020,"Patheon, NL",0.6,15000,9000,6000,4,4.0
1146,1146,ProductR,FDP,EU,EU,Pushtronex,2023,"PCI, US",0.3,15000,4500,10500,4,2.5
1026,1026,ProductQ,FDP,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
668,668,ProductM,DP,ICON - LACAN,ICON - LACAN,OnPro,2020,AML14,0.8,15000,12000,3000,4,2.5
1140,1140,ProductR,FDP,EU,EU,Auto Injector,2022,ABR,0.65,15000,9750,5250,4,2.5
1240,1240,ProductS,FDP,EU,EU,Capsule,2022,"Anderson Bercon, UK",0.35,15000,5250,9750,4,2.5
991,991,ProductQ,DP,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
586,586,ProductK,FDP,JAPAC,JAPAC,30cc,2022,AML1,0.25,15000,3750,11250,4,4.0
399,399,ProductI,DP,US,US,Vial,2020,AWM,0.98,15000,14700,300,4,4.0
1067,1067,ProductQ,FDP,US,US,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
385,385,ProductH,FDP,JAPAC,JAPAC,Syringe,2021,Bushu,0.35,15000,5250,9750,4,4.0
1280,1280,ProductT,DP,JAPAC,JAPAC,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
269,269,ProductF,DP,ICON - LACAN,ICON - LACAN,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
478,478,ProductK,DP,EU,EU,30cc,2019,ADL,1.0,15000,15000,0,4,4.0
715,715,ProductM,FDP,ICON - LACAN,ICON - LACAN,OnPro,2022,AML1,0.25,15000,3750,11250,4,2.5
386,386,ProductH,FDP,JAPAC,JAPAC,Syringe,2022,Bushu,0.35,15000,5250,9750,4,4.0
648,648,ProductL,FDP,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,4.0
356,356,ProductH,DP,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
178,178,ProductD,DP,EU,EU,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,4.0
841,841,ProductN,FDP,US,US,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
22,22,ProductB,DP,EU,EU,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
791,791,ProductN,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
846,846,ProductN,FDP,US,US,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
721,721,ProductM,FDP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
1008,1008,ProductQ,DP,US,US,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
1314,1314,ProductT,FDP,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
813,813,ProductN,FDP,ICON - LACAN,ICON - LACAN,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
941,941,ProductP,DS,Global,Global,Global DS,2023,"Bachem, CH",1.0,15000,15000,0,4,2.5
679,679,ProductM,DP,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
619,619,ProductL,DP,ICON - TMEA,ICON - TMEA,Vial,2023,AML14,0.8,15000,12000,3000,4,4.0
788,788,ProductN,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
968,968,ProductQ,DP,EU,EU,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
57,57,ProductB,DS,Global,Global,Global DS,2019,ATO23,1.0,15000,15000,0,4,4.0
634,634,ProductL,DS,Global,Global,Global DS,2023,ARI5,1.0,15000,15000,0,4,4.0
692,692,ProductM,DP,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
772,772,ProductN,DP,JAPAC,JAPAC,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
243,243,ProductE,DS,Global,Global,Global DS,2021,"FIS, IT",1.0,15000,15000,0,4,4.0
823,823,ProductN,FDP,ICON - TMEA,ICON - TMEA,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
369,369,ProductH,DS,Global,Global,Global DS,2021,ARI5,1.0,15000,15000,0,4,4.0
16,16,ProductA,FDP,US,US,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
604,604,ProductK,FDP,US,US,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
693,693,ProductM,DP,US,US,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
892,892,ProductO,FDP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,2.5
366,366,ProductH,DP,US,US,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
620,620,ProductL,DP,JAPAC,JAPAC,Vial,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1233,1233,ProductS,FDP,EU,EU,Blister,2020,"PCI, UK",0.3,15000,4500,10500,4,2.5
995,995,ProductQ,DP,ICON - TMEA,ICON - TMEA,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
441,441,ProductJ,DP,US,US,Lyo Vial Kit,2023,ADL,1.0,15000,15000,0,4,4.0
8,8,ProductA,DS,Global,Global,Global DS,2020,ASM1,0.4,15000,6000,9000,4,4.0
1171,1171,ProductR,FDP,JAPAC,JAPAC,Auto Injector,2019,Bushu,0.35,15000,5250,9750,4,2.5
954,954,ProductP,FDP,ICON - TMEA,ICON - TMEA,Vial,2021,ABR,0.65,15000,9750,5250,4,2.5
914,914,ProductP,DP,EU,EU,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
548,548,ProductK,FDP,EU,EU,30cc,2019,ABR,0.65,15000,9750,5250,4,4.0
345,345,ProductG,FDP,US,US,Vial,2023,AML1,0.25,15000,3750,11250,4,4.0
91,91,ProductB,FDP,JAPAC,JAPAC,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
16,16,ProductA,FDP,US,US,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
558,558,ProductK,FDP,ICON - LACAN,ICON - LACAN,10cc,2019,AML1,0.25,15000,3750,11250,4,4.0
433,433,ProductJ,DP,JAPAC,JAPAC,Lyo Vial Kit,2020,"Actavis, IT",0.98,15000,14700,300,4,4.0
1173,1173,ProductR,FDP,JAPAC,JAPAC,Auto Injector,2021,Bushu,0.35,15000,5250,9750,4,2.5
68,68,ProductB,FDP,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,4.0
1081,1081,ProductR,DP,EU,EU,Pushtronex,2023,"Patheon, IT",0.6,15000,9000,6000,4,2.5
499,499,ProductK,DP,ICON - LACAN,ICON - LACAN,50cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
63,63,ProductB,FDP,EU,EU,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,4.0
1062,1062,ProductQ,FDP,US,US,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
783,783,ProductN,DP,US,US,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
168,168,ProductC,FDP,US,US,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
42,42,ProductB,DP,ICON - TMEA,ICON - TMEA,Syringe,2019,AML14,0.8,15000,12000,3000,4,4.0
1004,1004,ProductQ,DP,JAPAC,JAPAC,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
337,337,ProductG,DS,Global,Global,Global DS,2020,ATO7,0.1,15000,1500,13500,4,4.0
797,797,ProductN,FDP,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
243,243,ProductE,DS,Global,Global,Global DS,2021,"FIS, IT",1.0,15000,15000,0,4,4.0
288,288,ProductF,DP,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
446,446,ProductJ,DS,Global,Global,Global DS,2021,ARI5,1.0,15000,15000,0,4,4.0
896,896,ProductO,FDP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,2.5
307,307,ProductF,FDP,ICON - LACAN,ICON - LACAN,Syringe,2020,AML1,0.25,15000,3750,11250,4,4.0
775,775,ProductN,DP,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
730,730,ProductM,FDP,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
1130,1130,ProductR,DP,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
200,200,ProductD,DP,US,US,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,4.0
470,470,ProductJ,FDP,US,US,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,4.0
358,358,ProductH,DP,JAPAC,JAPAC,Syringe,2020,"Patheon, IT",0.6,15000,9000,6000,4,4.0
1213,1213,ProductS,DP,ICON - TMEA,ICON - TMEA,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
933,933,ProductP,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
722,722,ProductM,FDP,ICON - TMEA,ICON - TMEA,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
888,888,ProductO,FDP,EU,EU,Lyo Vial Kit,2020,ABR,0.65,15000,9750,5250,4,2.5
899,899,ProductO,FDP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2021,ABR,0.65,15000,9750,5250,4,2.5
1104,1104,ProductR,DP,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
1294,1294,ProductT,FDP,EU,EU,Vial,2021,ABR,0.65,15000,9750,5250,4,2.5
585,585,ProductK,FDP,JAPAC,JAPAC,30cc,2021,AML1,0.25,15000,3750,11250,4,4.0
559,559,ProductK,FDP,ICON - LACAN,ICON - LACAN,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1078,1078,ProductR,DP,EU,EU,Pushtronex,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
257,257,ProductF,DP,ICON - LACAN,ICON - LACAN,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
